"id","description","price"
"321080","special price","250"
"4","goods with gift","495"
"5","warranty from producer","1155"
"7","discount item","935"
"8","2 for price 1","1045"
"9","","1265"
"10","available in credit","1375"
"11","special price","1155"
"12","goods with gift","1760"
"14","regular price","1155"
"15","discount item","1045"
"16","2 for price 1","1056"
"17","","165"
"18","available in credit","275"
"19","special price","385"
"21","warranty from producer","55"
"22","regular price","66"
"23","discount item","77"
"24","2 for price 1","60.5"
"25","","165"
"27","special price","143"
"28","goods with gift","132"
"29","warranty from producer","55"
"30","regular price","110"
"31","discount item","99"
"32","2 for price 1","88"
"33","","11"
"35","special price","22"
"36","goods with gift","27.5"
"37","warranty from producer","275"
"38","regular price","220"
"39","discount item","22"
"41","","22"
"42","available in credit","11"
"43","special price","16.5"
"44","goods with gift","17.6"
"45","warranty from producer","1.1"
"46","regular price","2.2"
"48","2 for price 1","4.4"
"49","","4.4"
"50","available in credit","3.3"
"51","special price","2.2"
"52","goods with gift","1.1"
"54","regular price","2.2"
"55","discount item","2.2"
"56","2 for price 1","1.1"
"57","","1.1"
"58","available in credit","2.2"
"59","special price","3.3"
"60","goods with gift","3.3"
"62","regular price","6.6"
"63","discount item","8.8"
"64","2 for price 1","9.9"
"65","","3.3"
"66","available in credit","2.2"
"67","special price","4.4"
"69","warranty from producer","1.1"
"70","regular price","2.2"
"71","discount item","2.2"
"72","2 for price 1","1.1"
"73","","5.5"
"75","special price","3.3"
"76","goods with gift","2.2"
"77","warranty from producer","1.1"
"78","regular price","5.5"
"79","discount item","4.4"
"80","2 for price 1","5.5"
"81","","4.4"
"83","special price","2.2"
"84","goods with gift","3.3"
"85","warranty from producer","4.4"
"86","regular price","5.5"
"87","discount item","2.2"
"89","","1.1"
"90","available in credit","2.2"
"91","special price","2.2"
"92","goods with gift","2.2"
"93","warranty from producer","1.1"
"95","discount item","1.1"
"96","2 for price 1","2.2"
"97","","3.3"
"98","available in credit","4.4"
"99","special price","1.1"
"100","goods with gift","2.2"
"102","regular price","16.5"
"103","discount item","12.1"
"104","2 for price 1","13.2"
"105","","11"
"106","available in credit","16.5"
"107","special price","12.1"
"1","111","275"
"321081","discount item","300"
"109","warranty from producer","275"
"110","regular price","330"
"112","2 for price 1","495"
"113","","1155"
"114","available in credit","825"
"115","special price","935"
"116","goods with gift","1045"
"117","warranty from producer","1265"
"118","regular price","1375"
"119","discount item","1155"
"120","2 for price 1","1760"
"121","","1100"
"122","available in credit","1155"
"123","special price","1045"
"124","goods with gift","1056"
"125","warranty from producer","165"
"126","regular price","275"
"127","discount item","385"
"128","2 for price 1","495"
"129","","55"
"131","special price","77"
"132","goods with gift","60.5"
"133","warranty from producer","165"
"134","regular price","154"
"135","discount item","143"
"136","2 for price 1","132"
"137","","55"
"138","available in credit","110"
"139","special price","99"
"140","goods with gift","88"
"141","warranty from producer","11"
"142","regular price","55"
"143","discount item","22"
"144","2 for price 1","27.5"
"145","","275"
"146","available in credit","220"
"147","special price","22"
"148","goods with gift","165"
"149","warranty from producer","22"
"150","regular price","11"
"151","discount item","16.5"
"152","2 for price 1","17.6"
"153","","1.1"
"155","special price","3.3"
"156","goods with gift","4.4"
"157","warranty from producer","4.4"
"158","regular price","3.3"
"159","discount item","2.2"
"160","2 for price 1","1.1"
"161","","1.1"
"162","available in credit","2.2"
"163","special price","2.2"
"164","goods with gift","1.1"
"165","warranty from producer","1.1"
"166","regular price","2.2"
"167","discount item","3.3"
"168","2 for price 1","3.3"
"169","","7.7"
"170","available in credit","6.6"
"171","special price","8.8"
"172","goods with gift","9.9"
"173","warranty from producer","3.3"
"174","regular price","2.2"
"175","discount item","4.4"
"176","2 for price 1","5.5"
"177","","1.1"
"179","special price","2.2"
"180","goods with gift","1.1"
"181","warranty from producer","5.5"
"182","regular price","4.4"
"183","discount item","3.3"
"184","2 for price 1","2.2"
"185","","1.1"
"186","available in credit","5.5"
"187","special price","4.4"
"188","goods with gift","5.5"
"189","warranty from producer","4.4"
"190","regular price","1.1"
"191","discount item","2.2"
"192","2 for price 1","3.3"
"193","","4.4"
"194","available in credit","5.5"
"195","special price","2.2"
"196","goods with gift","1.1"
"197","warranty from producer","1.1"
"198","regular price","2.2"
"199","discount item","2.2"
"200","2 for price 1","2.2"
"202","available in credit","1.1"
"203","special price","1.1"
"321082","goods with gift","350"
"205","warranty from producer","3.3"
"206","regular price","4.4"
"207","discount item","1.1"
"208","2 for price 1","2.2"
"210","available in credit","16.5"
"211","special price","12.1"
"212","goods with gift","13.2"
"213","warranty from producer","11"
"214","regular price","16.5"
"215","discount item","12.1"
"216","2 for price 1","13.2"
"217","","275"
"218","available in credit","330"
"219","special price","385"
"220","goods with gift","495"
"221","warranty from producer","1155"
"223","discount item","935"
"224","2 for price 1","1045"
"225","","1265"
"226","available in credit","1375"
"227","special price","1155"
"228","goods with gift","1760"
"229","warranty from producer","1100"
"230","regular price","1155"
"231","discount item","1045"
"232","2 for price 1","1056"
"233","","165"
"234","available in credit","275"
"235","special price","385"
"236","goods with gift","495"
"237","warranty from producer","55"
"238","regular price","66"
"239","discount item","77"
"240","2 for price 1","60.5"
"241","","165"
"242","available in credit","154"
"243","special price","143"
"244","goods with gift","132"
"246","regular price","110"
"247","discount item","99"
"248","2 for price 1","88"
"249","","11"
"250","available in credit","55"
"252","goods with gift","27.5"
"253","warranty from producer","275"
"254","regular price","220"
"255","discount item","22"
"256","2 for price 1","165"
"257","","22"
"258","available in credit","11"
"259","special price","16.5"
"260","goods with gift","17.6"
"261","warranty from producer","1.1"
"262","regular price","2.2"
"263","discount item","3.3"
"264","2 for price 1","4.4"
"265","","4.4"
"266","available in credit","3.3"
"267","special price","2.2"
"268","goods with gift","1.1"
"269","warranty from producer","1.1"
"270","regular price","2.2"
"271","discount item","2.2"
"272","2 for price 1","1.1"
"273","","1.1"
"274","available in credit","2.2"
"275","special price","3.3"
"276","goods with gift","3.3"
"277","warranty from producer","7.7"
"278","regular price","6.6"
"279","discount item","8.8"
"280","2 for price 1","9.9"
"281","","3.3"
"282","available in credit","2.2"
"283","special price","4.4"
